"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins","Round 1 P 1-All","P1 0.33  ","P1 0.67  ","Round 1 D 1-All","D1 0.33  ","D1 0.67  "
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","All","1","0","1","0.5","1","0.314946","1","1","0.530664","0.366176","","","0.147115","","","","","0.0528842","0.0853518","0.029594","0.135215","25.4024","24.0125","25.4024","24.0125","0.585167","0.515611","0.286935","0","0","0.147115","0.389577","0.0528842","0.0853518","0.0487439","0.5","0","-2.37907E-16","1","0.314946","0","0.685054","0.147115","0.0528842","0.0853518","0.0255929","0.0040016","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","NoDispute","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","DisputeArises","1","0","1","0.5","1","0.314946","1","1","0.530664","0.366176","","","0.147115","","","","","0.0528842","0.0853518","0.029594","0.135215","25.4024","24.0125","25.4024","24.0125","0.585167","0.515611","0.286935","0","0","0.147115","0.389577","0.0528842","0.0853518","0.0487439","0.5","0","-2.37907E-16","1","0.314946","0","0.685054","0.147115","0.0528842","0.0853518","0.0255929","0.0040016","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","PFiles","1","0","1","0.5","1","0.314946","1","1","0.530664","0.366176","","","0.147115","","","","","0.0528842","0.0853518","0.029594","0.135215","25.4024","24.0125","25.4024","24.0125","0.585167","0.515611","0.286935","0","0","0.147115","0.389577","0.0528842","0.0853518","0.0487439","0.5","0","-2.37907E-16","1","0.314946","0","0.685054","0.147115","0.0528842","0.0853518","0.0255929","0.0040016","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","DAnswers","0.3149","0","0.314946","0.346904","1","1","1","1","0.530664","0.366176","","","0.467113","","","","","0.167915","0.271005","0.093967","0.135215","24.9725","24.0396","24.9725","24.0396","0.987934","0.605516","0.453653","0","0","0.467113","0.389577","0.167915","0.271005","0.154769","0.444053","0","0.219796","1","1","0","0","0.467113","0.167915","0.271005","0.0812612","0.0127057","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Litigated","0.3149","0","0.314946","0.346904","1","1","1","1","0.530664","0.366176","","","0.467113","","","","","0.167915","0.271005","0.093967","0.135215","24.9725","24.0396","24.9725","24.0396","0.987934","0.605516","0.453653","0","0","0.467113","0.389577","0.167915","0.271005","0.154769","0.444053","0","0.219796","1","1","0","0","0.467113","0.167915","0.271005","0.0812612","0.0127057","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Settles","0.1471","0","0.147115","0.337897","1","1","1","1","0.37551","0.403644","","","1","","","","","0","0","0","","24.9896","24.2104","24.9896","24.2104","0.8","0.444952","0.44494","0","0","1","0.389577","0","0","0","0.440761","0","-0.0991783","1","1","0","0","1","0","0","0","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Tried","0.0296","0","0.0295945","0.333418","1","1","1","1","0.666667","0.333333","","","0","","","","","0","0","1","0.135215","23.7432","23.4568","23.7432","23.4568","2.8","1.10404","0.992743","0","0","0","","0","0","0","0.439124","0","1.16351","1","1","0","0","0","0","0","0.864785","0.135215","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","PWins","0.004","0","0.00400161","0.333873","1","1","1","1","0.666667","0.333333","","","0","","","","","0","0","1","1","24.6588","22.5412","24.6588","22.5412","2.8","2.01949","0.602012","0","0","0","","0","0","0","0.439291","0","1.16492","1","1","0","0","0","0","0","0","1","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","DWins","0.0256","0","0.0255929","0.333346","1","1","1","1","0.666667","0.333333","","","0","","","","","0","0","1","0","23.6","23.6","23.6","23.6","2.8","0.960902","1.05384","0","0","0","","0","0","0","0.439098","0","1.16329","1","1","0","0","0","0","0","1","0","","",""
"FSA-feeMar80-costsm4-fsm2-casens1","9.155E-06","0.748","Abandoned","0.1382","0","0.138236","0.359376","1","1","1","1","0.666667","0.333333","","","0","","","","","0.382565","0.617435","0","","25.2174","23.9826","25.2174","23.9826","0.8","0.669666","0.347513","0","0","0","","0.382565","0.617435","0.352614","0.44861","0","0.357221","1","1","0","0","0","0.382565","0.617435","0","0","","",""
